2025-03-08T14:04:06.538 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:06.538 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:06.539 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:06.539 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:07.052 +0530 [V]  - lastNotificationReceivedTime = 1741422847051, INFO
2025-03-08T14:04:07.060 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:07.063 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:07.065 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:07.068 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:07.072 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:07.074 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:08.545 +0530 [V]  - lastNotificationReceivedTime = 1741422848540, INFO
2025-03-08T14:04:08.545 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:08.560 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:08.562 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:08.563 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:08.565 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:08.565 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:09.132 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:09.135 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:09.137 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:09.138 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:09.139 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:09.140 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:09.522 +0530 [V]  - lastNotificationReceivedTime = 1741422849522, INFO
2025-03-08T14:04:09.523 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:09.526 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:09.526 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:09.527 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:09.527 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:09.528 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:10.174 +0530 [V]  - lastNotificationReceivedTime = 1741422850173, INFO
2025-03-08T14:04:10.175 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:10.180 +0530 [V]  - Music filters passed, INFO
2025-03-08T14:04:10.182 +0530 [V]  - Music onMetadataChanged data: true && true, INFO
2025-03-08T14:04:10.182 +0530 [V]  - Music onMetadataChanged, INFO
2025-03-08T14:04:10.188 +0530 [V]  - Music playing from media.music.musicplayer, INFO
2025-03-08T14:04:10.189 +0530 [V]  - maySetupMediaSessionController active, INFO
2025-03-08T14:04:10.979 +0530 [V]  - lastNotificationReceivedTime = 1741422850978, INFO
2025-03-08T14:04:10.986 +0530 [V]  - Music controllers is not empty, INFO
2025-03-08T14:04:11.020 +0530 [V]  - Music filters passed, INFO
